symbol_a,symbol_b,correlation,sector,industry_a,industry_b,same_industry,mktcap_a_bn,mktcap_b_bn,mktcap_ratio,common_days
RF,SSB,0.8182,Financial Services,Banks - Regional,Banks - Regional,True,23.71,9.42,2.52,749
TRMK,TRST,0.8181,Financial Services,Banks - Regional,Banks - Regional,True,2.35,1.02,2.29,749
OCFC,PFC,0.8181,Financial Services,Banks - Regional,Banks - Regional,True,1.03,1.15,1.11,517
HOMB,PB,0.8181,Financial Services,Banks - Regional,Banks - Regional,True,5.47,6.53,1.19,749
CVBF,FIBK,0.8181,Financial Services,Banks - Regional,Banks - Regional,True,2.56,3.34,1.31,749
FFBC,WAFD,0.818,Financial Services,Banks - Regional,Banks - Regional,True,2.37,2.43,1.02,749
ETV,ETW,0.818,Financial Services,Asset Management,Asset Management - Global,False,1.68,1.22,1.38,749
BHLB,QCRH,0.818,Financial Services,Banks - Regional,Banks - Regional,True,2.32,1.41,1.65,646
CFR,FNB,0.818,Financial Services,Banks - Regional,Banks - Regional,True,8.11,6.14,1.32,749
HOPE,WAFD,0.8179,Financial Services,Banks - Regional,Banks - Regional,True,1.41,2.43,1.72,749
PFBC,PPBI,0.8179,Financial Services,Banks - Regional,Banks - Regional,True,1.19,2.36,1.98,645
FBNC,UCBI,0.8179,Financial Services,Banks - Regional,Banks - Regional,True,2.1,3.66,1.74,395
ADX,ATERX,0.8179,Financial Services,Asset Management,Asset Management - Global,False,2.4,6.52,2.71,334
BY,IBOC,0.8179,Financial Services,Banks - Regional,Banks - Regional,True,1.31,3.93,3.01,749
CUZ,VNO,0.8179,Real Estate,REIT - Office,REIT - Office,True,4.7,8.01,1.7,749
BHLB,LBAI,0.8178,Financial Services,Banks - Regional,Banks - Regional,True,2.32,1.14,2.04,334
FIBK,IBTX,0.8178,Financial Services,Banks - Regional,Banks - Regional,True,3.34,2.1,1.59,479
SBSI,STBA,0.8178,Financial Services,Banks - Regional,Banks - Regional,True,1.16,1.52,1.31,749
ABCB,DCOM,0.8177,Financial Services,Banks - Regional,Banks - Regional,True,5.08,1.3,3.92,749
CHCO,TOWN,0.8177,Financial Services,Banks - Regional,Banks - Regional,True,1.73,2.56,1.48,749
