symbol,event_date,split_ratio,category,window,stock_ret_pct,bench_ret_pct,car_pct
SFE,2000-03-20,3.0,3-for-1,1,0.0,0.0,0.0
SFE,2000-03-20,3.0,3-for-1,5,-2.1424,1.8413,-3.9836
SFE,2000-03-20,3.0,3-for-1,21,-57.7352,-3.164,-54.5712
SFE,2000-03-20,3.0,3-for-1,63,-57.5292,-0.254,-57.2752
SFE,2000-03-20,3.0,3-for-1,126,-72.1697,-2.5714,-69.5983
SFE,2000-03-20,3.0,3-for-1,252,-94.4763,-22.6349,-71.8414
CSCO,2000-03-23,2.0,2-for-1,-5,-15.3801,-4.3748,-11.0053
CSCO,2000-03-23,2.0,2-for-1,1,0.0,0.0,0.0
CSCO,2000-03-23,2.0,2-for-1,5,-7.2382,-3.1767,-4.0615
CSCO,2000-03-23,2.0,2-for-1,21,-20.0697,-7.3712,-12.6984
CSCO,2000-03-23,2.0,2-for-1,63,-18.6569,-4.945,-13.7119
CSCO,2000-03-23,2.0,2-for-1,126,-22.9921,-6.631,-16.361
CSCO,2000-03-23,2.0,2-for-1,252,-76.4467,-24.653,-51.7937
DISH,2000-03-23,2.0,2-for-1,-5,-15.0215,-4.3748,-10.6466
DISH,2000-03-23,2.0,2-for-1,1,0.0,0.0,0.0
DISH,2000-03-23,2.0,2-for-1,5,-9.1954,-3.1767,-6.0187
DISH,2000-03-23,2.0,2-for-1,21,-33.087,-7.3712,-25.7158
DISH,2000-03-23,2.0,2-for-1,63,-50.0821,-4.945,-45.1371
DISH,2000-03-23,2.0,2-for-1,126,-36.4532,-6.631,-29.8222
DISH,2000-03-23,2.0,2-for-1,252,-64.0394,-24.653,-39.3864
NTAP,2000-03-23,2.0,2-for-1,-5,-13.3811,-4.3748,-9.0063
NTAP,2000-03-23,2.0,2-for-1,1,0.0,0.0,0.0
NTAP,2000-03-23,2.0,2-for-1,5,-20.8682,-3.1767,-17.6914
NTAP,2000-03-23,2.0,2-for-1,21,-49.3664,-7.3712,-41.9952
NTAP,2000-03-23,2.0,2-for-1,63,-16.0016,-4.945,-11.0566
NTAP,2000-03-23,2.0,2-for-1,126,36.4923,-6.631,43.1233
NTAP,2000-03-23,2.0,2-for-1,252,-78.8757,-24.653,-54.2227
SANM,2000-03-23,2.0,2-for-1,-5,-0.6816,-4.3748,3.6932
SANM,2000-03-23,2.0,2-for-1,1,0.0,0.0,0.0
SANM,2000-03-23,2.0,2-for-1,5,-13.8258,-3.1767,-10.649
SANM,2000-03-23,2.0,2-for-1,21,-16.7614,-7.3712,-9.3901
SANM,2000-03-23,2.0,2-for-1,63,25.3788,-4.945,30.3238
SANM,2000-03-23,2.0,2-for-1,126,56.0606,-6.631,62.6916
SANM,2000-03-23,2.0,2-for-1,252,-25.1894,-24.653,-0.5364
JBL,2000-03-31,2.0,2-for-1,-5,-4.8229,2.1207,-6.9436
JBL,2000-03-31,2.0,2-for-1,1,0.0,0.0,0.0
JBL,2000-03-31,2.0,2-for-1,5,0.5965,0.1253,0.4713
JBL,2000-03-31,2.0,2-for-1,21,-4.1444,-4.7077,0.5633
JBL,2000-03-31,2.0,2-for-1,63,21.0361,-3.7161,24.7522
JBL,2000-03-31,2.0,2-for-1,126,38.3987,-4.572,42.9708
JBL,2000-03-31,2.0,2-for-1,252,-49.6389,-23.6848,-25.9542
AVTA,2000-04-07,2.0,2-for-1,-5,-2.4932,-0.6985,-1.7947
AVTA,2000-04-07,2.0,2-for-1,1,0.0,0.0,0.0
AVTA,2000-04-07,2.0,2-for-1,5,-22.9249,-9.8482,-13.0767
AVTA,2000-04-07,2.0,2-for-1,21,-14.9457,-6.3213,-8.6244
AVTA,2000-04-07,2.0,2-for-1,63,-20.9486,-1.7582,-19.1904
AVTA,2000-04-07,2.0,2-for-1,126,-65.3162,-6.0283,-59.2879
AVTA,2000-04-07,2.0,2-for-1,252,-96.4111,-23.2444,-73.1667
HOG,2000-04-10,2.0,2-for-1,-5,-2.905,0.2616,-3.1667
HOG,2000-04-10,2.0,2-for-1,1,0.0,0.0,0.0
HOG,2000-04-10,2.0,2-for-1,5,-12.446,-6.4238,-6.0222
HOG,2000-04-10,2.0,2-for-1,21,-7.7698,-8.1663,0.3965
HOG,2000-04-10,2.0,2-for-1,63,-8.5612,-1.2701,-7.2911
HOG,2000-04-10,2.0,2-for-1,126,8.8849,-6.4658,15.3507
HOG,2000-04-10,2.0,2-for-1,252,-8.4892,-21.6123,13.1231
PWR,2000-04-10,1.5,other,-5,0.1458,0.2616,-0.1159
PWR,2000-04-10,1.5,other,1,0.0,0.0,0.0
PWR,2000-04-10,1.5,other,5,-6.5478,-6.4238,-0.1239
PWR,2000-04-10,1.5,other,21,23.6178,-8.1663,31.7841
PWR,2000-04-10,1.5,other,63,13.1465,-1.2701,14.4166
PWR,2000-04-10,1.5,other,126,-32.6369,-6.4658,-26.1711
PWR,2000-04-10,1.5,other,252,-40.2293,-21.6123,-18.617
NOK,2000-04-11,4.0,4-for-1,-5,-4.1873,-0.1889,-3.9983
NOK,2000-04-11,4.0,4-for-1,1,0.0,0.0,0.0
NOK,2000-04-11,4.0,4-for-1,5,3.9816,-1.2411,5.2227
NOK,2000-04-11,4.0,4-for-1,21,6.2867,-3.4211,9.7078
NOK,2000-04-11,4.0,4-for-1,63,5.7837,2.18,3.6037
NOK,2000-04-11,4.0,4-for-1,126,-28.6253,-5.4177,-23.2077
NOK,2000-04-11,4.0,4-for-1,252,-45.1802,-19.3503,-25.8299
SLNH,2000-04-13,3.0,3-for-1,-5,41.1456,4.3231,36.8225
SLNH,2000-04-13,3.0,3-for-1,1,0.0,0.0,0.0
SLNH,2000-04-13,3.0,3-for-1,5,24.6514,5.7465,18.905
SLNH,2000-04-13,3.0,3-for-1,21,-23.721,6.8261,-30.5471
SLNH,2000-04-13,3.0,3-for-1,63,19.5349,11.4813,8.0536
SLNH,2000-04-13,3.0,3-for-1,126,-46.9767,-1.6369,-45.3398
SLNH,2000-04-13,3.0,3-for-1,252,-60.5581,-12.6074,-47.9508
ASML,2000-04-17,3.0,3-for-1,-5,14.9701,7.1789,7.7911
ASML,2000-04-17,3.0,3-for-1,1,0.0,0.0,0.0
ASML,2000-04-17,3.0,3-for-1,5,-3.2603,2.5462,-5.8064
ASML,2000-04-17,3.0,3-for-1,21,-0.9589,0.4699,-1.4288
ASML,2000-04-17,3.0,3-for-1,63,16.8493,3.9121,12.9372
ASML,2000-04-17,3.0,3-for-1,126,-28.2466,-3.8794,-24.3672
ASML,2000-04-17,3.0,3-for-1,252,-31.9452,-13.2554,-18.6898
PHG,2000-04-18,4.0,4-for-1,-5,-2.7352,4.1088,-6.8441
PHG,2000-04-18,4.0,4-for-1,1,0.0,0.0,0.0
PHG,2000-04-18,4.0,4-for-1,5,0.1034,2.3384,-2.235
PHG,2000-04-18,4.0,4-for-1,21,-3.1008,0.1655,-3.2662
PHG,2000-04-18,4.0,4-for-1,63,12.1447,4.0371,8.1076
PHG,2000-04-18,4.0,4-for-1,126,-20.4651,-5.3938,-15.0713
PHG,2000-04-18,4.0,4-for-1,252,-31.5762,-11.2729,-20.3033
SWKS,2000-04-20,2.0,2-for-1,-5,-18.0025,0.3074,-18.3099
SWKS,2000-04-20,2.0,2-for-1,1,0.0,0.0,0.0
SWKS,2000-04-20,2.0,2-for-1,5,18.3424,1.9978,16.3446
SWKS,2000-04-20,2.0,2-for-1,21,-5.9812,-1.5316,-4.4496
SWKS,2000-04-20,2.0,2-for-1,63,-14.6682,4.0733,-18.7414
SWKS,2000-04-20,2.0,2-for-1,126,-20.0513,-1.5871,-18.4641
SWKS,2000-04-20,2.0,2-for-1,252,-41.4412,-13.1521,-28.2891
KSS,2000-04-25,2.0,2-for-1,-5,-13.7655,-4.9979,-8.7676
KSS,2000-04-25,2.0,2-for-1,1,0.0,0.0,0.0
KSS,2000-04-25,2.0,2-for-1,5,-0.4774,-1.6059,1.1285
KSS,2000-04-25,2.0,2-for-1,21,-7.3081,-4.2466,-3.0615
KSS,2000-04-25,2.0,2-for-1,63,20.639,0.8084,19.8306
KSS,2000-04-25,2.0,2-for-1,126,3.0114,-3.5891,6.6005
KSS,2000-04-25,2.0,2-for-1,252,12.6698,-15.014,27.6839
