symbol,event_date,action,magnitude,mag_label,cluster_status,category,stock_ret_1d,bench_ret_1d,abnormal_ret_1d,stock_ret_5d,bench_ret_5d,abnormal_ret_5d,stock_ret_21d,bench_ret_21d,abnormal_ret_21d,stock_ret_63d,bench_ret_63d,abnormal_ret_63d
FVI.TO,2012-07-10,downgrade,2,small,single,downgrade,-0.039216,0.005711,-0.044927,0.0,0.014538,-0.014538,0.092437,0.050883,0.041554,None,None,None
ERF.TO,2012-07-11,upgrade,2,small,single,upgrade_single,-0.031625,-0.009809,-0.021816,0.049073,0.011874,0.037199,0.082879,0.053691,0.029188,0.209378,0.114094,0.095284
FVI.TO,2012-07-11,downgrade,2,small,single,downgrade,0.026239,-0.009809,0.036048,0.017493,0.011874,0.005619,0.201166,0.053691,0.147475,0.341108,0.114094,0.227014
ENB.TO,2012-07-16,upgrade,2,small,single,upgrade_single,0.012097,0.006179,0.005918,0.016129,-0.000515,0.016644,-0.021169,0.052523,-0.073693,-0.02873,0.100927,-0.129657
ENB-PFA.TO,2012-07-16,upgrade,2,small,single,upgrade_single,0.012127,0.006179,0.005948,0.015858,-0.000515,0.016373,-0.027985,0.052523,-0.080508,-0.035914,0.100927,-0.136841
ENB.TO,2012-07-17,upgrade,2,small,single,upgrade_single,0.002988,0.003071,-8.3e-05,0.009462,-0.016888,0.026351,-0.02988,0.051689,-0.081569,-0.034861,0.097236,-0.132097
AEM.TO,2012-07-25,upgrade,2,small,single,upgrade_single,0.075937,0.018614,0.057323,0.119833,0.020165,0.099668,0.188081,0.071872,0.116209,0.326178,0.096691,0.229487
AEM.TO,2012-07-26,upgrade,2,small,single,upgrade_single,0.019059,0.015228,0.003831,0.029482,-0.008629,0.038111,0.103038,0.05736,0.045677,0.211733,0.072081,0.139652
CP.TO,2012-07-26,upgrade,2,small,clustered,upgrade_clustered,0.02573,0.015228,0.010502,0.006259,-0.008629,0.014888,0.028512,0.05736,-0.028849,0.154381,0.072081,0.0823
ELD.TO,2012-07-29,upgrade,2,small,clustered,upgrade_clustered,-0.046491,-0.011471,-0.03502,None,None,None,0.116493,0.036908,0.079585,0.223794,0.05985,0.163943
ELD.TO,2012-07-30,upgrade,2,small,clustered,upgrade_clustered,-0.046491,-0.011471,-0.03502,None,None,None,0.116493,0.036908,0.079585,0.223794,0.05985,0.163943
CNR.TO,2012-07-31,downgrade,2,small,single,downgrade,-0.014339,-0.004541,-0.009798,0.007456,0.024723,-0.017266,0.026384,0.047931,-0.021548,-0.021222,0.083754,-0.104975
CNR.TO,2012-08-01,upgrade,2,small,single,upgrade_single,-0.001746,-0.010137,0.008391,0.018039,0.025849,-0.00781,0.041315,0.041054,0.000261,0.007856,0.0963,-0.088444
STN.TO,2012-08-02,downgrade,2,small,single,downgrade,0.099249,0.018945,0.080304,0.113428,0.045059,0.068369,0.110926,0.061444,0.049482,0.312761,0.09575,0.217011
IMG.TO,2012-08-07,downgrade,2,small,single,downgrade,-0.03856,-0.003447,-0.035114,-0.029135,0.006401,-0.035535,0.138818,0.041359,0.097459,0.30677,0.042836,0.263933
RY.TO,2012-08-07,downgrade,2,small,single,downgrade,-0.009277,-0.003447,-0.00583,0.002879,0.006401,-0.003522,0.079655,0.041359,0.038296,0.097889,0.042836,0.055053
STN.TO,2012-08-07,upgrade,2,small,single,upgrade_single,-0.000743,-0.003447,0.002704,-0.001486,0.006401,-0.007887,0.036404,0.041359,-0.004955,0.167162,0.042836,0.124326
BMO.TO,2012-08-07,downgrade,2,small,single,downgrade,-0.010284,-0.003447,-0.006838,-0.007864,0.006401,-0.014265,0.000907,0.041359,-0.040452,0.033273,0.042836,-0.009563
BNS.TO,2012-08-07,upgrade,2,small,clustered,upgrade_clustered,-0.012004,-0.003447,-0.008557,-0.011542,0.006401,-0.017943,0.00554,0.041359,-0.035819,0.037858,0.042836,-0.004978
K.TO,2012-08-08,downgrade,2,small,single,downgrade,0.026163,0.008399,0.017764,0.034884,0.015316,0.019568,0.218023,0.063241,0.154782,0.318314,0.036067,0.282247
